Product,Total_Revenue,Rank
Hands All Over,0.99,414
Hang 'Em High,0.99,414
Happy Jack,0.99,414
Hard Luck Woman,0.99,414
Hard To Handle,0.99,414
Harvester Of Sorrow,0.99,414
Hats Off To (Roy) Harper,0.99,414
Hawkmoon 269,0.99,414
He Can Only Hold Her,0.99,414
Headlong,0.99,414
Headspace,0.99,414
Heart In Your Hand,0.99,414
Heart Of Gold,0.99,414
Heart Of Lothian: Wide Boy / Curtain Call,0.99,414
Heartbreaker,0.99,414
Heartland,0.99,414
Heavy Love Affair,0.99,414
Heliopolis,0.99,414
Hell Ain't A Bad Place To Be,0.99,414
Help Yourself,0.99,414
Hemp Family,0.99,414
Here I Am (Come And Take Me),0.99,414
Here I Go Again,0.99,414
Hey Cisco,0.99,414
Hey Hey,0.99,414
Hey Joe,0.99,414
Hey Tonight,0.99,414
"Hey, Johnny Park!",0.99,414
High Ball Shooter,0.99,414
High Head Blues,0.99,414
Higher Ground,0.99,414
Highway Chile,0.99,414
Hip Hop Rio,0.99,414
Hit The Lights,0.99,414
Holier Than Thou,0.99,414
Holy Smoke,0.99,414
Home Sick Home,0.99,414
Home Sweet Home,0.99,414
Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody Likes You / Rock And Roll Girlfriend / We're Coming Home Again,0.99,414
Homely Girl,0.99,414
Homem Primata,0.99,414
Homem Primata (Vinheta),0.99,414
Honolulu,0.99,414
Hooked Up,0.99,414
Hot Dog,0.99,414
Hot Rockin',0.99,414
Hots On For Nowhere,0.99,414
Houses Of The Holy,0.99,414
How High The Moon,0.99,414
How The West Was Won And Where It Got Us,0.99,414
Humans Being,0.99,414
Hush,0.99,414
Hypnotize,0.99,414
Hysteria,0.99,414
I Am,0.99,414
I Belong To You,0.99,414
I Can See For Miles,0.99,414
I Can't Quit You Baby,0.99,414
I Can't Quit You Baby(2),0.99,414
I Can't Remember,0.99,414
I Could Die For You,0.99,414
I Could Have Lied,0.99,414
I Don't Know,0.99,414
I Don't Wanna Be Kissed (By Anyone But You),0.99,414
I Feel Good (I Got You) - Sossego,0.99,414
I Fucking Hate You,0.99,414
I Get A Kick Out Of You,0.99,414
I Heard Love Is Blind,0.99,414
I Know Somethin (Bout You),0.99,414
I Like Dirt,0.99,414
I Looked At You,0.99,414
I Need Love,0.99,414
I Remember California,0.99,414
I Still Haven't Found What I'm Looking For,0.99,414
I Still Haven't Found What I'm Looking for,0.99,414
I Still Love You,0.99,414
I Want It All,0.99,414
I Want To Break Free,0.99,414
I Was Made For Loving You,0.99,414
I Would Do For You,0.99,414
I'm A Boy,0.99,414
I'm Real,0.99,414
Idolatrada,0.99,414
If God Will Send His Angels,0.99,414
If You Don't Know Me By Now,0.99,414
If You Have To Ask,0.99,414
In Bloom,0.99,414
In Your Honor,0.99,414
Indios,0.99,414
Infeliz Natal,0.99,414
Innuendo,0.99,414
Insensível,0.99,414
Inside Job,0.99,414
Instant Karma,0.99,414
Instinto Colectivo,0.99,414
Interlude Zumbi,0.99,414
Into The Fire,0.99,414
Into The Light,0.99,414
Intro / Stronger Than Me,0.99,414
Invaders,0.99,414
Invisible Kid,0.99,414
Ipiranga 2001,0.99,414
Iron Man,0.99,414
Iron Man/Children of the Grave,0.99,414
It Ain't Like That,0.99,414
It Doesn't Matter,0.99,414
It Was A Very Good Year,0.99,414
It's A Hard Life,0.99,414
It's A Man's Man's Man's World,0.99,414
It's Just A Thought,0.99,414
It's Late,0.99,414
It's Only Love,0.99,414
It's So Easy,0.99,414
It's The End Of The World As We Know It (And I Feel Fine),0.99,414
It's Too Funky In Here,0.99,414
It's a Mistake,0.99,414
Ito Okashi,0.99,414
Jacob's Ladder,0.99,414
Jaded,0.99,414
Jah Seh No,0.99,414
Jailbait,0.99,414
Janie's Got A Gun,0.99,414
Jealous Guy,0.99,414
Jean Pierre (Live),0.99,414
Jeito Faceiro,0.99,414
Jeru,0.99,414
Jerusalem,0.99,414
Jesus Christ Pose,0.99,414
Jesus Of Suburbia / City Of The Damned / I Don't Care / Dearly Beloved / Tales Of Another Broken Home,0.99,414
Join Together,0.99,414
Jorge Da Capadócia,0.99,414
Journey To Arnhemland,0.99,414
Juazeiro,0.99,414
Jump,0.99,414
Jump In The Fire,0.99,414
Jungle Drums,0.99,414
"Jupiter, the Bringer of Jollity",0.99,414
Just Ain't Good Enough,0.99,414
Just Friends,0.99,414
KKK Bitch,0.99,414
"Karelia Suite, Op.11: 2. Ballade (Tempo Di Menuetto)",0.99,414
Kickstart My Heart,0.99,414
Killing Floor,0.99,414
Kindergarten,0.99,414
King In Crimson,0.99,414
King Nothing,0.99,414
King Of Dreams,0.99,414
King Of Pain,0.99,414
Knockin On Heavens Door,0.99,414
Knocking At Your Back Door,0.99,414
Know Your Rights,0.99,414
La Bella Luna,0.99,414
La Puesta Del Sol,0.99,414
Laguna Sunrise,0.99,414
Lament,0.99,414
Lamento Sertanejo,0.99,414
Lanterna Dos Afogados,0.99,414
Last Caress/Green Hell,0.99,414
Last Night On Earth,0.99,414
Lavadeira,0.99,414
Lazy Gun,0.99,414
Leandro De Itaquera 2001,0.99,414
Leash,0.99,414
Leave,0.99,414
Leila,0.99,414
Lemon,0.99,414
Let It Grow,0.99,414
Let Me Off Uptown,0.99,414
Let's See Action,0.99,414
Letterbomb,0.99,414
Levada do Amor (Ailoviu),0.99,414
Lick It Up,0.99,414
Life During Wartime,0.99,414
Life Line,0.99,414
Lightning Strikes Twice,0.99,414
Ligia,0.99,414
Like A Song...,0.99,414
Like a Stone,0.99,414
Lil' Evil,0.99,414
Lilás,0.99,414
Lindo Lago Do Amor,0.99,414
Linha Do Horizonte,0.99,414
Little Guitars,0.99,414
Little Guitars (Intro),0.99,414
Little Linda,0.99,414
Live To Win,0.99,414
Live and Let Die,0.99,414
Livin' On The Edge,0.99,414
Living In America,0.99,414
Livre Pra Viver,0.99,414
Lodi,0.99,414
Long As I Can See The Light,0.99,414
Long Tall Sally,0.99,414
Longview,0.99,414
Looking For Love,0.99,414
Lord Of The Flies,0.99,414
Lord of Light,0.99,414
Lords of Karma,0.99,414
Losfer Words,0.99,414
Losing My Religion,0.99,414
Lost in Hollywood,0.99,414
Loud Love,0.99,414
Love,0.99,414
Love And Peace Or Else,0.99,414
Love Child,0.99,414
Love Comes,0.99,414
Love Conquers All,0.99,414
Love Don't Mean a Thing,0.99,414
Love Gun,0.99,414
Love In An Elevator,0.99,414
Love Is Blindness,0.99,414
Love Is Strong,0.99,414
Love Of My Life,0.99,414
Love Removal Machine,0.99,414
Love Rescue Me,0.99,414
Loving You Sunday Morning,0.99,414
Low,0.99,414
Low Man's Lyric,0.99,414
Lucky 13,0.99,414
Luis Inacio (300 Picaretas),0.99,414
MFC,0.99,414
Machine Men,0.99,414
Mack The Knife,0.99,414
Macy's Day Parade,0.99,414
Madalena,0.99,414
Magic Bus,0.99,414
Magnetic Ocean,0.99,414
Make Me Believe,0.99,414
Malpractice,0.99,414
Maluco Beleza,0.99,414
Mama Africa,0.99,414
Mama Said,0.99,414
Man On The Edge,0.99,414
Man With The Woman Head,0.99,414
Mangueira,0.99,414
Manifest Destiny,0.99,414
Manuel,0.99,414
Maquinarama,0.99,414
Maracatu Atômico,0.99,414
Maracatu Atômico [Trip Hop],0.99,414
Maracatu De Tiro Certeiro,0.99,414
Maria,0.99,414
Maria Fumaça,0.99,414
Maria Maria,0.99,414
Maria Rosa,0.99,414
"Maria, Maria",0.99,414
Marvin,0.99,414
Mas Que Nada,0.99,414
Mateus Enter,0.99,414
May This Be Love,0.99,414
Me & Mr. Jones,0.99,414
Me Deixas Louca,0.99,414
Me In Honey,0.99,414
Me Liga,0.99,414
Mean Disposition,0.99,414
Medo De Escuro,0.99,414
Mellowship Slinky In B Major,0.99,414
Menino Do Rio,0.99,414
Meninos E Meninas,0.99,414
Message in a Bottle (new classic rock mix),0.99,414
Metal Meltdown,0.99,414
Metal Militia,0.99,414
"Metopes, Op. 29: Calypso",0.99,414
Metrô. Linha 743,0.99,414
Meu Guarda-Chuva,0.99,414
Meu Mundo Fica Completo (Com Você),0.99,414
Meu Refrigerador Não Funciona,0.99,414
Midnight,0.99,414
Midnight Cowboy,0.99,414
Millenium,0.99,414
Minha Historia,0.99,414
Minha Namorada,0.99,414
Minority,0.99,414
Miracle To Me,0.99,414
Miss Sarajevo,0.99,414
Misty Mountain Hop,0.99,414
Mistério da Raça,0.99,414
Moby Dick,0.99,414
Mofo,0.99,414
Molina,0.99,414
Momentos Que Marcam,0.99,414
Money,0.99,414
Monkey Wrench,0.99,414
Moon Is Up,0.99,414
Moon germs,0.99,414
Morning Glory,0.99,414
Morro Da Casa Verde 2001,0.99,414
Most High,0.99,414
Moth,0.99,414
Mouth To Mouth,0.99,414
Mr. Brownstone,0.99,414
Mr. Crowley,0.99,414
Muita Bobeira,0.99,414
Mundaréu,0.99,414
Murders In The Rue Morgue,0.99,414
Muçulmano,0.99,414
My Friend Of Misery,0.99,414
My Hero,0.99,414
My Kind Of Town,0.99,414
My Love,0.99,414
My Melancholy Blues,0.99,414
My Mistake,0.99,414
My Ship,0.99,414
My Time After Awhile,0.99,414
My World,0.99,414
Mãe Terra,0.99,414
Música De Trabalho,0.99,414
Música Urbana 2,0.99,414
N.I.B.,0.99,414
Na Frente Da TV,0.99,414
Naked In Front Of The Computer,0.99,414
Naked In The Rain,0.99,414
Navegar Impreciso,0.99,414
Nefertiti,0.99,414
Nem 5 Minutos Guardados,0.99,414
Nem Um Dia,0.99,414
Nervosa,0.99,414
Never Say Die,0.99,414
New Love,0.99,414
New Test Leper,0.99,414
New York,0.99,414
"New York, New York",0.99,414
Neworld,0.99,414
Nico,0.99,414
Night Flight,0.99,414
Night Of The Long Knives,0.99,414
Night Time Is The Right Time,0.99,414
Night Train,0.99,414
No Fundo Do Quintal Da Escola,0.99,414
No Futuro,0.99,414
No Memory,0.99,414
No More Tears,0.99,414
No One Came,0.99,414
No Prayer For The Dying,0.99,414
No Way Back,0.99,414
Nobody Knows You When You're Down & Out,0.99,414
Nobody's Home,0.99,414
Nosso Adeus,0.99,414
Nothin' To Lose,0.99,414
Nothing To Say,0.99,414
Nothingman,0.99,414
Now You're Gone,0.99,414
Numb,0.99,414
Não Dá Mais Pra Segurar (Explode Coração),0.99,414
Não Sei O Que Eu Quero Da Vida,0.99,414
Não Vou Ficar,0.99,414
Não Vou Lutar,0.99,414
O Amor Nao Sabe Esperar,0.99,414
O Beco,0.99,414
O Bicho Tá Pregando,0.99,414
O Boto (Bôto),0.99,414
O Braço Da Minha Guitarra,0.99,414
O Cidadão Do Mundo,0.99,414
O Descobridor Dos Sete Mares,0.99,414
O Dia Em Que A Terra Parou,0.99,414
O Leaozinho,0.99,414
O Livro Dos Dias,0.99,414
O Que Me Importa,0.99,414
O Que Será (À Flor Da Terra),0.99,414
O Que Vai Em Meu Coração,0.99,414
O Trem Da Juventude,0.99,414
O Xote Das Meninas,0.99,414
O Último Romântico (Ao Vivo),0.99,414
Oceano,0.99,414
Oceans,0.99,414
Odara,0.99,414
Of Wolf And Man,0.99,414
Off He Goes,0.99,414
"Oh, My Love",0.99,414
Old Love,0.99,414
Olodum - Smile (Instrumental),0.99,414
On A Plain,0.99,414
On Fire,0.99,414
On Mercury,0.99,414
One,0.99,414
One For The Road,0.99,414
One I Want,0.99,414
One Man's Meat,0.99,414
One Step Closer,0.99,414
Onibusfobia,0.99,414
Only A Dream In Rio,0.99,414
Only the Good Die Young,0.99,414
Opachorô (Live),0.99,414
Opus No.1,0.99,414
Original Of The Species,0.99,414
Orion,0.99,414
Os Alquimistas Estão Chegando,0.99,414
Os Cegos Do Castelo,0.99,414
Os Exilados,0.99,414
Otay,0.99,414
Out Of Sight,0.99,414
Out Of Tears,0.99,414
Out On The Tiles,0.99,414
Out Ta Get Me,0.99,414
Outbreak,0.99,414
Outshined,0.99,414
Over And Out,0.99,414
Over The Hills And Far Away,0.99,414
Overdrive,0.99,414
Overtime,0.99,414
Ozone Baby,0.99,414
Padre Cícero,0.99,414
Pagan Baby,0.99,414
Pais E Filhos,0.99,414
Paisagem Na Janela,0.99,414
Palavras,0.99,414
Palavras Ao Vento,0.99,414
Palco,0.99,414
Panama,0.99,414
Panis Et Circenses,0.99,414
Papa's Got A Brand New Bag Pt.1,0.99,414
Papeau Nuky Doe,0.99,414
Papelão,0.99,414
Para Lennon E McCartney,0.99,414
Parabolicamará,0.99,414
Paradise City,0.99,414
Parallel Universe,0.99,414
Paranoid,0.99,414
"Partita in E Major, BWV 1006A: I. Prelude",0.99,414
Paths Of Glory,0.99,414
Pau-De-Arara,0.99,414
"Peer Gynt Suite No.1, Op.46: 1. Morning Mood",0.99,414
Pela Internet (Live),0.99,414
Pensamento,0.99,414
Perfect Circle,0.99,414
Perplexo,0.99,414
Persuasion,0.99,414
Phantom Of The Opera,0.99,414
"Piano Sonata No. 14 in C Sharp Minor, Op. 27, No. 2, ""Moonlight"": I. Adagio sostenuto",0.99,414
Pick Myself Up,0.99,414
Pictures Of Home,0.99,414
Pictures Of Lily,0.99,414
Pinball Wizard,0.99,414
Pini Di Roma (Pinien Von Rom) \ I Pini Della Via Appia,0.99,414
Planet Home,0.99,414
Playtime,0.99,414
Please Don't Touch,0.99,414
Plush,0.99,414
Podes Crer,0.99,414
Podres Poderes,0.99,414
Poeira,0.99,414
Polícia (Vinheta),0.99,414
Ponta de Areia,0.99,414
Ponto De Interrogação,0.99,414
Poor Tom,0.99,414
Poor Twisted Me,0.99,414
Poprocks And Coke,0.99,414
Por Que Será,0.99,414
Porcelain,0.99,414
Porch,0.99,414
"Posso Perder Minha Mulher, Minha Mãe, Desde Que Eu Tenha O Rock And Roll",0.99,414
Pot-Pourri N.º 2,0.99,414
Pot-Pourri N.º 4,0.99,414
Pot-Pourri N.º 5,0.99,414
Pour Some Sugar On Me,0.99,414
Praise,0.99,414
Preciso Apender a Viver Só (Maysa),0.99,414
Prenda Minha,0.99,414
Pretty Persuasion,0.99,414
Pretty Tied Up,0.99,414
Primal Scream,0.99,414
Primary,0.99,414
Prince Charming,0.99,414
Princess of the Dawn,0.99,414
Principiando/Decolagem,0.99,414
Pristina,0.99,414
Problem Child,0.99,414
"Prometheus Overture, Op. 43",0.99,414
Protesto Do Olodum (Ao Vivo),0.99,414
Proud Mary,0.99,414
Prá Dizer Adeus,0.99,414
Pseudo Silk Kimono,0.99,414
Psychopomp,0.99,414
Purgatory,0.99,414
Put The Finger On You,0.99,414
Put Your Head Out,0.99,414
Put Your Lights On,0.99,414
Puteiro Em João Pessoa,0.99,414
Quando Você Voltar,0.99,414
Quanta (Live),0.99,414
Quase Um Segundo,0.99,414
Queixa,0.99,414
Quem Mata A Mulher Mata O Melhor,0.99,414
Querem Meu Sangue,0.99,414
RV,0.99,414
Radio Free Aurope,0.99,414
Radio GA GA,0.99,414
Radio/Video,0.99,414
Rag Doll,0.99,414
Ram It Down,0.99,414
Ramshackle Man,0.99,414
Rasul,0.99,414
Razor,0.99,414
Real Thing,0.99,414
Realce,0.99,414
Realword,0.99,414
Red House,0.99,414
Redundant,0.99,414
Refavela (Live),0.99,414
Refazenda,0.99,414
Reggae Odoyá,0.99,414
Reggae Tchan,0.99,414
Rehab (Hot Chip Remix),0.99,414
Relvelation (Mother Earth),0.99,414
Remedy,0.99,414
"Requiem, Op.48: 4. Pie Jesu",0.99,414
Respectable,0.99,414
Restless and Wild,0.99,414
Revenga,0.99,414
Rhinocerous,0.99,414
Ride The Lightning,0.99,414
Right Next Door to Hell,0.99,414
Right Now,0.99,414
Right Through You,0.99,414
Rime of the Ancient Mariner,0.99,414
Rios Pontes & Overdrives,0.99,414
Rita Lee,0.99,414
River Song,0.99,414
Riviera Paradise,0.99,414
Ro-Que-Se-Da-Ne,0.99,414
Road Trippin',0.99,414
Rock 'N' Roll Music,0.99,414
Rock And Roll Is Dead,0.99,414
Rock Das Aranhas (Ao Vivo) (Live),0.99,414
Rock Of Ages,0.99,414
Rock On,0.99,414
Rock The Casbah,0.99,414
Rollover D.J.,0.99,414
Romaria,0.99,414
Romaria (Renato Teixeira),0.99,414
Romeo et Juliette: No. 11 - Danse des Chevaliers,0.99,414
Roxanne,0.99,414
Run Through The Jungle,0.99,414
Run To The Hilss,0.99,414
Run to the Hills,0.99,414
Running Free,0.99,414
Rusty Cage,0.99,414
Réu Confesso,0.99,414
SKA,0.99,414
"Sabbath, Bloody Sabbath",0.99,414
Sad Statue,0.99,414
Safe and Sound,0.99,414
Saint Of Me,0.99,414
Salutations,0.99,414
Salve Nossa Senhora,0.99,414
Salve Simpatia,0.99,414
Sam With The Showing Scalp Flat Top,0.99,414
Samba Da Volta,0.99,414
Samba Do Jato,0.99,414
Samba Em Prelúdio,0.99,414
Samba Makossa,0.99,414
Samba Pra Endrigo,0.99,414
Samba da Bençaco,0.99,414
Samba pras moças,0.99,414
Same Ol' Situation,0.99,414
Sampa,0.99,414
San Francisco Bay Blues,0.99,414
Sangue De Bairro,0.99,414
Santa Clara Clareou,0.99,414
Santana Jam,0.99,414
Santo Antonio,0.99,414
Sapato 36,0.99,414
Sapopemba e Maxambomba,0.99,414
Satch Boogie,0.99,414
Satisfação,0.99,414
Saudade Dos Aviões Da Panair (Conversando No Bar),0.99,414
Saudosa Maloca,0.99,414
Saudosismo,0.99,414
Save Me,0.99,414
Say Hello 2 Heaven,0.99,414
"Say It Loud, I'm Black And I'm Proud Pt.1",0.99,414
Scar On the Sky,0.99,414
Scentless Apprentice,0.99,414
Scratch-N-Sniff,0.99,414
Se Liga,0.99,414
Se...,0.99,414
Sea Of Sorrow,0.99,414
Sea of Madness,0.99,414
Seconds,0.99,414
Secrets,0.99,414
See You,0.99,414
Seek & Destroy,0.99,414
Seek And You Shall Find,0.99,414
Segue O Seco,0.99,414
Seis Da Tarde,0.99,414
Sem Essa de Malandro Agulha,0.99,414
Sem Sentido,0.99,414
Sereia,0.99,414
Será,0.99,414
Será Que Vai Chover?,0.99,414
Set It Off,0.99,414
Seu Balancê,0.99,414
Seven Seas Of Rhye,0.99,414
Seventh Son of a Seventh Son,0.99,414
Severed Hand,0.99,414
Sex Type Thing,0.99,414
Shape of Things to Come,0.99,414
She Wears Black,0.99,414
Sheer Heart Attack,0.99,414
Shining In The Light,0.99,414
Shiny Happy People,0.99,414
Shotgun Blues,0.99,414
Shout At The Devil,0.99,414
Shout It Out Loud,0.99,414
Show Me How to Live (Live at the Quart Festival),0.99,414
Showcase,0.99,414
Sick Again,0.99,414
Signe,0.99,414
Silver And Gold,0.99,414
Sincero Breu,0.99,414
Sing Joyfully,0.99,414
Sir Psycho Sexy,0.99,414
Sister Awake,0.99,414
Slave,0.99,414
Sleep On The Sidewalk,0.99,414
Slowness,0.99,414
Slug,0.99,414
Smells Like Teen Spirit (Ao Vivo),0.99,414
Smoked Pork,0.99,414
Smokin' in The Boys Room,0.99,414
So Beautiful,0.99,414
So Cruel,0.99,414
"So Fast, So Numb",0.99,414
So Por Amor,0.99,414
Sobremesa,0.99,414
Socorro,0.99,414
Soldado Da Paz,0.99,414
Solo-Panhandler,0.99,414
Some Kind Of Monster,0.99,414
Some Unholy War,0.99,414
Someday Never Comes,0.99,414
Sometimes I Feel Like Screaming,0.99,414
Sometimes Salvation,0.99,414
Sonata for Solo Violin: IV: Presto,0.99,414
Song For Lorraine,0.99,414
Sonifera Ilha,0.99,414
Sons Of Freedom,0.99,414
Soot & Stars,0.99,414
Soul Education,0.99,414
Soul Parsifal,0.99,414
Soul Singing,0.99,414
Sound of a Gun,0.99,414
Sozinho,0.99,414
Sozinho (Caêdrum 'n' Bass),0.99,414
Sozinho (Hitmakers Classic Mix),0.99,414
Space Truckin',0.99,414
Spanish Eyes,0.99,414
"Spanish moss-""A sound portrait""-Spanish moss",0.99,414
Spank Thru,0.99,414
Spellbound,0.99,414
Spirit Walker,0.99,414
Spoonman,0.99,414
Spread Your Wings,0.99,414
Squeeze Box,0.99,414
St. Jimmy,0.99,414
Stand Inside Your Love,0.99,414
Star A.D.,0.99,414
Staring At The Sun,0.99,414
Stars,0.99,414
"Stay (Faraway, So Close!)",0.99,414
Still,0.99,414
Still Life,0.99,414
Still Loving You,0.99,414
Still Of The Night,0.99,414
Sting Me,0.99,414
Stone Crazy,0.99,414
Stone Free,0.99,414
Straight Out Of Line,0.99,414
Strange Kind Of Woman,0.99,414
Stranger in a Strange Land,0.99,414
Stripsearch,0.99,414
Strutter,0.99,414
Stuck With Me,0.99,414
Sua Impossivel Chance,0.99,414
Suck My Kiss,0.99,414
Suck On The Jugular,0.99,414
"Suite for Solo Cello No. 1 in G Major, BWV 1007: I. Prélude",0.99,414
Summer Love,0.99,414
Super Terrorizer,0.99,414
Surprise! You're Dead!,0.99,414
"Suzie-Q, Pt. 2",0.99,414
Sweet Lady Luck,0.99,414
Sweet Soul Sister,0.99,414
Sweethearts Together,0.99,414
Swing Low Sweet Chariot,0.99,414
"Symphony No. 104 in D Major ""London"": IV. Finale: Spiritoso",0.99,414
"Symphony No. 2, Op. 16 -  ""The Four Temperaments"": II. Allegro Comodo e Flemmatico",0.99,414
Symphony No. 2: III. Allegro vivace,0.99,414
"Symphony No. 3 Op. 36 for Orchestra and Soprano ""Symfonia Piesni Zalosnych"" \ Lento E Largo - Tranquillissimo",0.99,414
"Symphony No. 41 in C Major, K. 551, ""Jupiter"": IV. Molto allegro",0.99,414
Sympton of the Universe,0.99,414
Sábado A Noite,0.99,414
Século XXI,0.99,414
Sítio Do Pica-Pau Amarelo,0.99,414
Tailgunner,0.99,414
Take The Power,0.99,414
Take This Bottle,0.99,414
Take the Box,0.99,414
Talk About The Passion,0.99,414
"Tapa Aqui, Descobre Ali",0.99,414
Tatuagem,0.99,414
Tea For One,0.99,414
Tears Dry On Their Own,0.99,414
Tears In Heaven,0.99,414
Tease Me Please Me,0.99,414
Tempo Rei,0.99,414
Tempos Modernos,0.99,414
Ten Years Gone,0.99,414
Tendo A Lua,0.99,414
Terra,0.99,414
Territorial Pissings,0.99,414
Texarkana,0.99,414
"Texto ""Verdade Tropical""",0.99,414
The Alchemist,0.99,414
The Angel And The Gambler,0.99,414
The Assassin,0.99,414
The Battle Rages On,0.99,414
The Begining... At Last,0.99,414
The Beginning...At Last,0.99,414
The Call Of Ktulu,0.99,414
The Crunge,0.99,414
The Crystal Ship,0.99,414
The Cut Runs Deep,0.99,414
The Day I Tried To Live,0.99,414
The Deeper The Love,0.99,414
The Educated Fool,0.99,414
The Finest Worksong,0.99,414
The First Time,0.99,414
The Fly,0.99,414
The Four Horsemen,0.99,414
The Frayed Ends Of Sanity,0.99,414
The Fugitive,0.99,414
The Gentle Art Of Making Enemies,0.99,414
The God That Failed,0.99,414
The Great Gig In The Sky,0.99,414
The Ides Of March,0.99,414
The Invisible Man,0.99,414
The Last Remaining Light,0.99,414
The Lemon Song,0.99,414
The Meaning Of The Blues,0.99,414
The Memory Remains,0.99,414
"The Messiah: Behold, I Tell You a Mystery... The Trumpet Shall Sound",0.99,414
The More I See,0.99,414
The Morning After,0.99,414
The Ocean,0.99,414
The Outlaw Torn,0.99,414
The Pan Piper,0.99,414
The Pilgrim,0.99,414
The Playboy Mansion,0.99,414
The Power Of Equality,0.99,414
The Prophecy,0.99,414
The Right Thing,0.99,414
The River (Remix),0.99,414
The Seeker,0.99,414
The Show Must Go On,0.99,414
The Small Hours,0.99,414
The Struggle Within,0.99,414
The Sun Road,0.99,414
The Thing That Should Not Be,0.99,414
The Three Sunrises,0.99,414
The Tower,0.99,414
The Unbeliever,0.99,414
The Unforgettable Fire,0.99,414
The Unwritten Law,0.99,414
The Wait,0.99,414
The Wake-Up Bomb,0.99,414
The Wanderer,0.99,414
The Wind Cries Mary,0.99,414
The Wrong Child,0.99,414
The Zephyr Song,0.99,414
The Zoo,0.99,414
Theme From The Swan,0.99,414
These Colours Don't Run,0.99,414
They're Red Hot,0.99,414
Thief In The Night,0.99,414
Think About You,0.99,414
Thinking 'Bout Tomorrow,0.99,414
This Is Radio Clash,0.99,414
This Is The Place,0.99,414
Through The Never,0.99,414
Tightrope,0.99,414
Time,0.99,414
Time Is On My Side,0.99,414
To Live Is To Die,0.99,414
To Tame A Land,0.99,414
Toda Menina Baiana,0.99,414
Todo Amor (Asas Da Liberdade),0.99,414
Todo Amor Que Houver Nesta Vida,0.99,414
Todo Mundo Explica,0.99,414
Todo o Carnaval tem seu Fim,0.99,414
Tombstone Shadow,0.99,414
Tommy Gun,0.99,414
Tomorrow's Dream,0.99,414
Too Young To Die,0.99,414
Top O' The Morning To Ya,0.99,414
Top Top,0.99,414
Trac Trac,0.99,414
Tradição,0.99,414
Trampled Under Foot,0.99,414
Transylvania,0.99,414
"Trash, Trampoline And The Party Girl",0.99,414
Travelling Riverside Blues,0.99,414
TriboTchan,0.99,414
Trocando Em Miúdos,0.99,414
True Believers,0.99,414
Trupets Of Jericho,0.99,414
Três Lados,0.99,414
Tudo Bem,0.99,414
Tudo Na Mais Santa Paz,0.99,414
Tuesday's Gone,0.99,414
Turn The Page,0.99,414
Twentienth Century Fox,0.99,414
Two Fanfares for Orchestra: II. Short Ride in a Fast Machine,0.99,414
Two Steps Behind [Acoustic Version],0.99,414
Tyrant (Live),0.99,414
Ugly In The Morning,0.99,414
"Um Amor, Um Lugar",0.99,414
Um Dia Qualquer,0.99,414
Um Homem Chamado Alfredo,0.99,414
Um Indio,0.99,414
Um Jantar Pra Dois,0.99,414
Um Love,0.99,414
Um Lugar ao Sol,0.99,414
Um Passeio No Mundo Livre,0.99,414
Um Satélite Na Cabeça,0.99,414
Uma Brasileira,0.99,414
Unchained,0.99,414
Under My Thumb,0.99,414
Under Pressure,0.99,414
Under The Sun/Every Day Comes and Goes,0.99,414
Underwater Love,0.99,414
United Colours,0.99,414
União Da Ilha,0.99,414
Uns Dias,0.99,414
Until It Sleeps,0.99,414
Until We Fall,0.99,414
Up An' Atom,0.99,414
Up Around The Bend,0.99,414
Vai Passar,0.99,414
Vai Valer,0.99,414
Valentino's,0.99,414
Vamo Batê Lata,0.99,414
Vavoom : Ted The Mechanic,0.99,414
Verdade,0.99,414
Vertigo,0.99,414
Vida Boa,0.99,414
Vida De Cachorro,0.99,414
Viradouro,0.99,414
Virginia Moon,0.99,414
Voce Inteira,0.99,414
Voce Nao Entende Nada - Cotidiano,0.99,414
Você,0.99,414
Você Fugiu,0.99,414
"Você Passa, Eu Acho Graça (Ao Vivo)",0.99,414
Vou Pra Ai,0.99,414
Vulcão Dub - Fui Eu,0.99,414
Vôo Sobre o Horizonte,0.99,414
W.M.A.,0.99,414
Waiting On A Sign,0.99,414
Wake Me Up When September Ends,0.99,414
Wake Up,0.99,414
Wake Up Alone,0.99,414
Wake Up Dead Man,0.99,414
Walk On,0.99,414
Walk To The Water,0.99,414
Walkin' Blues,0.99,414
Walking After You,0.99,414
Walking Contradiction,0.99,414
Walking On The Water,0.99,414
Walking Wounded,0.99,414
Wall Of Denial,0.99,414
Wanted Dread And Alive,0.99,414
War (The Process),0.99,414
Wasting Love,0.99,414
Waterhole (Expresso Bongo),0.99,414
Wave (Os Cariocas),0.99,414
We Will Rock You,0.99,414
We're Gonna Groove,0.99,414
Wear You To The Ball,0.99,414
Wearing And Tearing,0.99,414
Welcome to the Jungle,0.99,414
"Wellington's Victory or the Battle Symphony, Op.91: 2. Symphony of Triumph",0.99,414
Were Do We Go From Here,0.99,414
Wet My Bed,0.99,414
What If I Do?,0.99,414
What Is And What Should Never Be,0.99,414
What It Takes,0.99,414
What Now My Love,0.99,414
Whatever Gets You Thru the Night,0.99,414
When Evening Falls,0.99,414
When I Had Your Love,0.99,414
When Love & Hate Collide,0.99,414
When The Levee Breaks,0.99,414
When The World Was Young,0.99,414
When You Gonna Learn (Digeridoo),0.99,414
